,folder,file,size(kB),height,width,ratio,parallax,include
56,cartel,cartel_mayo_1972_museo_de_la_solidaridad_color.jpg,14.656,312,215,0.689102564102564,,1
2,fotos,mario_pedrosa_y_allende_1972_mssa.jpg,17.666,209,300,1.43540669856459,,
43,fotos,mario_pedrosa_1973_paris.jpg,10.03,300,201,0.67,,
7,fotos,mp1.jpeg,6.162,278,182,0.654676258992806,,
44,fotos,mirsa_1.jpeg,8.965,266,190,0.714285714285714,,
117,grafica,panel_obras_perdidas.jpeg,8.293,182,277,1.52197802197802,,
144,obras,tapiz_gracia.jpeg,10.376,168,300,1.78571428571429,,
81,prensa,allende_inauguracion_1972.jpeg,18.575,207,243,1.17391304347826,,
74,prensa,mp.jpeg,18.938,174,289,1.66091954022989,,
17,fotos,mario_p.jpeg,4.87,184,273,1.48369565217391,,
122,obras,noe_1.jpg,9.011,151,259,1.71523178807947,,
